Generation,evals,avg,std,min,max,best_one,fitness_best_one
32,358,[  7.         441.09739791],[0.        2.6303221],[  7.         431.15772551],[  7.     445.6765],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 5, 3]","(7.0, 431.1577255128883)"
33,344,[  7.         439.03678813],[0.         1.45655667],[  7.         431.15772551],[  7.         441.15998119],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 5, 3]","(7.0, 431.1577255128883)"
34,346,[  7.         438.40181128],[0.         1.98438927],[  7.         431.15772551],[  7.         439.13278395],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 5, 3]","(7.0, 431.1577255128883)"
35,338,[  7.         437.47309128],[0.         2.73179794],[  7.         429.52886656],[  7.         439.13278395],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 3, 5]","(7.0, 429.52886655505745)"
36,330,[  7.         435.72436208],[0.         3.10122492],[  7.         429.52886656],[  7.         439.13278395],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 12, 14, 4, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 3, 5]","(7.0, 429.52886655505745)"
37,352,[  7.         432.98444954],[0.        2.2761061],[  7.         428.43670476],[  7.         436.98480936],"[20, 21, 10, 9, 6, 7, 11, 8, 4, 12, 14, 13, 22, 24, 25, 19, 16, 18, 15, 17, 23, 2, 1, 5, 3]","(7.0, 428.4367047602091)"
38,336,[  7.         431.04630928],[0.         0.77119851],[  7.         418.86213619],[  7.         432.58468723],"[25, 21, 23, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 418.8621361860423)"
39,338,[  7.         430.76952045],[0.         1.14768567],[  7.         418.86213619],[  7.         431.15772551],"[25, 21, 23, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 418.8621361860423)"
40,328,[  7.         430.22546235],[0.         1.68841354],[  7.         418.86213619],[  7.         431.15772551],"[25, 21, 23, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 418.8621361860423)"
41,340,[  7.         429.18969988],[0.         2.18293659],[  7.         418.86213619],[  7.         431.15772551],"[25, 21, 23, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 418.8621361860423)"
42,340,[  7.         427.99043133],[0.         2.88212476],[  7.         418.86213619],[  7.         429.52886656],"[25, 21, 23, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 418.8621361860423)"
43,350,[  7.         426.32747662],[0.         3.63464824],[  7.        415.3028159],[  7.         429.45819241],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 415.3028159003471)"
44,342,[  7.         423.61873622],[0.         3.77179591],[  7.        415.3028159],[  7.         428.43670476],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 5, 2]","(7.0, 415.3028159003471)"
45,326,[  7.       420.102342],[0.        2.4583705],[  7.         411.13671332],[  7.         424.89575414],"[25, 21, 23, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 2, 5]","(7.0, 411.13671332125625)"
46,342,[  7.         418.54083934],[0.         1.33981224],[  7.         407.57739304],[  7.         418.86213619],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 2, 5]","(7.0, 407.5773930355611)"
47,336,[  7.         417.98569706],[0.         2.17754578],[  7.         407.57739304],[  7.         418.86213619],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 2, 5]","(7.0, 407.5773930355611)"
48,354,[  7.         416.91531275],[0.         2.91417487],[  7.         407.57739304],[  7.         418.86213619],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 2, 5]","(7.0, 407.5773930355611)"
49,320,[  7.        414.7121652],[0.         3.04640113],[  7.         407.57739304],[  7.         418.86213619],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 2, 5]","(7.0, 407.5773930355611)"
50,344,[  7.         411.98063373],[0.         1.90287649],[  7.         407.11845304],[  7.        415.3028159],"[21, 25, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 24, 20, 16, 19, 18, 15, 12, 14, 7, 1, 4, 2]","(7.0, 407.1184530421077)"
51,342,[  7.         410.44840161],[0.         1.41463109],[  7.         403.43525741],[  7.         411.41607055],"[25, 23, 21, 8, 6, 9, 11, 10, 13, 17, 3, 4, 22, 24, 20, 15, 19, 18, 16, 12, 14, 7, 1, 2, 5]","(7.0, 403.4352574118302)"
52,346,[  7.         409.60538763],[0.         1.76346925],[  7.         403.07154511],[  7.         411.13671332],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 16, 19, 18, 15, 14, 12, 7, 1, 4, 2]","(7.0, 403.07154511388546)"
53,344,[  7.         408.11570291],[0.         1.49136026],[  7.         403.07154511],[  7.         410.51761075],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 16, 19, 18, 15, 14, 12, 7, 1, 4, 2]","(7.0, 403.07154511388546)"
54,354,[  7.        407.1534273],[0.         1.09407981],[  7.         401.77182639],[  7.         407.57739304],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 12, 14, 7, 1, 4, 2]","(7.0, 401.7718263910802)"
55,342,[  7.         406.61138341],[0.         1.49802142],[  7.         401.77182639],[  7.         407.57739304],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 12, 14, 7, 1, 4, 2]","(7.0, 401.7718263910802)"
