Generation,evals,avg,std,min,max,best_one,fitness_best_one
191,340,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
192,346,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
193,334,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
194,354,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
195,350,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
196,330,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
197,348,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
198,342,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
199,336,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
200,338,[  7.         388.05998128],[0.00000000e+00 1.30739863e-12],[  7.         388.05998128],[  7.         388.05998128],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
